DATAFLOW,LAST UPDATE,freq,animals,month,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:TAG00014(1.0),23/10/23 23:00:00,A,A2300F,M12,THS_HD,AL,2014,357.78,
ESTAT:TAG00014(1.0),23/10/23 23:00:00,A,A2300F,M12,THS_HD,AL,2015,357.52,
ESTAT:TAG00014(1.0),23/10/23 23:00:00,A,A2300F,M12,THS_HD,AL,2016,353.05,
ESTAT:TAG00014(1.0),23/10/23 23:00:00,A,A2300F,M12,THS_HD,AL,2017,346.41,
ESTAT:TAG00014(1.0),23/10/23 23:00:00,A,A2300F,M12,THS_HD,AL,2018,339.94,
ESTAT:TAG00014(1.0),23/10/23 23:00:00,A,A2300F,M12,THS_HD,AL,2019,313.89,
ESTAT:TAG00014(1.0),23/10/23 23:00:00,A,A2300F,M12,THS_HD,AL,2020,287.17,
ESTAT:TAG00014(1.0),23/10/23 23:00:00,A,A2300F,M12,THS_HD,AL,2021,275.58,
ESTAT:TAG00014(1.0),23/10/23 23:00:00,A,A2300F,M12,THS_HD,AL,2022,260.96,
ESTAT:TAG00014(1.0),23/10/23 23:00:00,A,A2300F,M12,THS_HD,AT,2011,527.39,
ESTAT:TAG00014(1.0),23/10/23 23:00:00,A,A2300F,M12,THS_HD,AT,2012,523.37,
ESTAT:TAG00014(1.0),23/10/23 23:00:00,A,A2300F,M12,THS_HD,AT,2013,529.56,
ESTAT:TAG00014(1.0),23/10/23 23:00:00,A,A2300F,M12,THS_HD,AT,2014,537.74,
ESTAT:TAG00014(1.0),23/10/23 23:00:00,A,A2300F,M12,THS_HD,AT,2015,534.10,
ESTAT:TAG00014(1.0),23/10/23 23:00:00,A,A2300F,M12,THS_HD,AT,2016,539.87,
ESTAT:TAG00014(1.0),23/10/23 23:00:00,A,A2300F,M12,THS_HD,AT,2017,543.42,
ESTAT:TAG00014(1.0),23/10/23 23:00:00,A,A2300F,M12,THS_HD,AT,2018,532.87,
ESTAT:TAG00014(1.0),23/10/23 23:00:00,A,A2300F,M12,THS_HD,AT,2019,524.07,
ESTAT:TAG00014(1.0),23/10/23 23:00:00,A,A2300F,M12,THS_HD,AT,2020,524.78,
ESTAT:TAG00014(1.0),23/10/23 23:00:00,A,A2300F,M12,THS_HD,AT,2021,526.46,
ESTAT:TAG00014(1.0),23/10/23 23:00:00,A,A2300F,M12,THS_HD,AT,2022,550.55,
ESTAT:TAG00014(1.0),23/10/23 23:00:00,A,A2300F,M12,THS_HD,BA,2011,231.00,e
ESTAT:TAG00014(1.0),23/10/23 23:00:00,A,A2300F,M12,THS_HD,BA,2012,217.00,e
ESTAT:TAG00014(1.0),23/10/23 23:00:00,A,A2300F,M12,THS_HD,BA,2013,222.00,e
ESTAT:TAG00014(1.0),23/10/23 23:00:00,A,A2300F,M12,THS_HD,BA,2014,216.00,e
ESTAT:TAG00014(1.0),23/10/23 23:00:00,A,A2300F,M12,THS_HD,BA,2015,217.00,e
ESTAT:TAG00014(1.0),23/10/23 23:00:00,A,A2300F,M12,THS_HD,BA,2016,215.00,e
ESTAT:TAG00014(1.0),23/10/23 23:00:00,A,A2300F,M12,THS_HD,BA,2017,206.00,e
ESTAT:TAG00014(1.0),23/10/23 23:00:00,A,A2300F,M12,THS_HD,BA,2018,200.00,e
ESTAT:TAG00014(1.0),23/10/23 23:00:00,A,A2300F,M12,THS_HD,BA,2019,193.00,e
ESTAT:TAG00014(1.0),23/10/23 23:00:00,A,A2300F,M12,THS_HD,BA,2020,191.00,e
ESTAT:TAG00014(1.0),23/10/23 23:00:00,A,A2300F,M12,THS_HD,BA,2021,147.44,
ESTAT:TAG00014(1.0),23/10/23 23:00:00,A,A2300F,M12,THS_HD,BA,2022,148.52,
ESTAT:TAG00014(1.0),23/10/23 23:00:00,A,A2300F,M12,THS_HD,BE,2011,510.65,
ESTAT:TAG00014(1.0),23/10/23 23:00:00,A,A2300F,M12,THS_HD,BE,2012,503.54,
ESTAT:TAG00014(1.0),23/10/23 23:00:00,A,A2300F,M12,THS_HD,BE,2013,515.99,
ESTAT:TAG00014(1.0),23/10/23 23:00:00,A,A2300F,M12,THS_HD,BE,2014,519.09,
