DATAFLOW,LAST UPDATE,freq,dairyprod,milkitem,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:APRO_MK_FARM(1.0),12/10/23 23:00:00,A,D0100AD,UWM,AL,1987,175,
ESTAT:APRO_MK_FARM(1.0),12/10/23 23:00:00,A,D0100AD,UWM,AL,1988,185,
ESTAT:APRO_MK_FARM(1.0),12/10/23 23:00:00,A,D0100AD,UWM,AL,1989,191,
ESTAT:APRO_MK_FARM(1.0),12/10/23 23:00:00,A,D0100AD,UWM,AL,1990,180,
ESTAT:APRO_MK_FARM(1.0),12/10/23 23:00:00,A,D0100AD,UWM,AL,1991,201,
ESTAT:APRO_MK_FARM(1.0),12/10/23 23:00:00,A,D0100AD,UWM,AL,1992,250,
ESTAT:APRO_MK_FARM(1.0),12/10/23 23:00:00,A,D0100AD,UWM,AL,1993,304,
ESTAT:APRO_MK_FARM(1.0),12/10/23 23:00:00,A,D0100AD,UWM,AL,1994,345,
ESTAT:APRO_MK_FARM(1.0),12/10/23 23:00:00,A,D0100AD,UWM,AL,1995,384,
ESTAT:APRO_MK_FARM(1.0),12/10/23 23:00:00,A,D0100AD,UWM,AL,1996,412,
ESTAT:APRO_MK_FARM(1.0),12/10/23 23:00:00,A,D0100AD,UWM,AL,1997,368,
ESTAT:APRO_MK_FARM(1.0),12/10/23 23:00:00,A,D0100AD,UWM,AL,1998,368,
ESTAT:APRO_MK_FARM(1.0),12/10/23 23:00:00,A,D0100AD,UWM,AT,1984,2434,
ESTAT:APRO_MK_FARM(1.0),12/10/23 23:00:00,A,D0100AD,UWM,AT,1985,2383,
ESTAT:APRO_MK_FARM(1.0),12/10/23 23:00:00,A,D0100AD,UWM,AT,1986,2377.00,
ESTAT:APRO_MK_FARM(1.0),12/10/23 23:00:00,A,D0100AD,UWM,AT,1987,2257.00,
ESTAT:APRO_MK_FARM(1.0),12/10/23 23:00:00,A,D0100AD,UWM,AT,1988,2224.00,
ESTAT:APRO_MK_FARM(1.0),12/10/23 23:00:00,A,D0100AD,UWM,AT,1989,2220.00,
ESTAT:APRO_MK_FARM(1.0),12/10/23 23:00:00,A,D0100AD,UWM,AT,1990,2339.00,
ESTAT:APRO_MK_FARM(1.0),12/10/23 23:00:00,A,D0100AD,UWM,AT,1991,2210.00,
ESTAT:APRO_MK_FARM(1.0),12/10/23 23:00:00,A,D0100AD,UWM,AT,1992,2205.00,
ESTAT:APRO_MK_FARM(1.0),12/10/23 23:00:00,A,D0100AD,UWM,AT,1993,2200.05,
ESTAT:APRO_MK_FARM(1.0),12/10/23 23:00:00,A,D0100AD,UWM,AT,1994,2202.94,
ESTAT:APRO_MK_FARM(1.0),12/10/23 23:00:00,A,D0100AD,UWM,AT,1995,2292.40,
ESTAT:APRO_MK_FARM(1.0),12/10/23 23:00:00,A,D0100AD,UWM,AT,1996,2343.30,
ESTAT:APRO_MK_FARM(1.0),12/10/23 23:00:00,A,D0100AD,UWM,AT,1997,2426.90,
ESTAT:APRO_MK_FARM(1.0),12/10/23 23:00:00,A,D0100AD,UWM,AT,1998,2455.90,
ESTAT:APRO_MK_FARM(1.0),12/10/23 23:00:00,A,D0100AD,UWM,AT,1999,2547.20,
ESTAT:APRO_MK_FARM(1.0),12/10/23 23:00:00,A,D0100AD,UWM,AT,2000,2668.10,
ESTAT:APRO_MK_FARM(1.0),12/10/23 23:00:00,A,D0100AD,UWM,AT,2001,2660.80,
ESTAT:APRO_MK_FARM(1.0),12/10/23 23:00:00,A,D0100AD,UWM,AT,2002,2656.00,
ESTAT:APRO_MK_FARM(1.0),12/10/23 23:00:00,A,D0100AD,UWM,AT,2003,2651.40,
ESTAT:APRO_MK_FARM(1.0),12/10/23 23:00:00,A,D0100AD,UWM,AT,2004,2621.50,
ESTAT:APRO_MK_FARM(1.0),12/10/23 23:00:00,A,D0100AD,UWM,AT,2005,2625.90,
ESTAT:APRO_MK_FARM(1.0),12/10/23 23:00:00,A,D0100AD,UWM,AT,2006,2679.10,
ESTAT:APRO_MK_FARM(1.0),12/10/23 23:00:00,A,D0100AD,UWM,AT,2007,2667.70,
ESTAT:APRO_MK_FARM(1.0),12/10/23 23:00:00,A,D0100AD,UWM,AT,2008,2723.10,
ESTAT:APRO_MK_FARM(1.0),12/10/23 23:00:00,A,D0100AD,UWM,AT,2009,2724.70,
ESTAT:APRO_MK_FARM(1.0),12/10/23 23:00:00,A,D0100AD,UWM,AT,2010,2783.50,
ESTAT:APRO_MK_FARM(1.0),12/10/23 23:00:00,A,D0100AD,UWM,AT,2011,2911.21,
ESTAT:APRO_MK_FARM(1.0),12/10/23 23:00:00,A,D0100AD,UWM,AT,2012,2981.60,
ESTAT:APRO_MK_FARM(1.0),12/10/23 23:00:00,A,D0100AD,UWM,AT,2013,2949.29,
ESTAT:APRO_MK_FARM(1.0),12/10/23 23:00:00,A,D0100AD,UWM,AT,2014,3078.62,
ESTAT:APRO_MK_FARM(1.0),12/10/23 23:00:00,A,D0100AD,UWM,AT,2015,3120.58,
ESTAT:APRO_MK_FARM(1.0),12/10/23 23:00:00,A,D0100AD,UWM,AT,2016,3114.43,
ESTAT:APRO_MK_FARM(1.0),12/10/23 23:00:00,A,D0100AD,UWM,AT,2017,3208.80,
ESTAT:APRO_MK_FARM(1.0),12/10/23 23:00:00,A,D0100AD,UWM,AT,2018,3203.83,
ESTAT:APRO_MK_FARM(1.0),12/10/23 23:00:00,A,D0100AD,UWM,AT,2019,3165.87,
ESTAT:APRO_MK_FARM(1.0),12/10/23 23:00:00,A,D0100AD,UWM,AT,2020,3172.68,
ESTAT:APRO_MK_FARM(1.0),12/10/23 23:00:00,A,D0100AD,UWM,AT,2021,3178.04,
ESTAT:APRO_MK_FARM(1.0),12/10/23 23:00:00,A,D0100AD,UWM,AT,2022,3420.01,
ESTAT:APRO_MK_FARM(1.0),12/10/23 23:00:00,A,D0100AD,UWM,BE,1960,2037,
ESTAT:APRO_MK_FARM(1.0),12/10/23 23:00:00,A,D0100AD,UWM,BE,1961,2191,
ESTAT:APRO_MK_FARM(1.0),12/10/23 23:00:00,A,D0100AD,UWM,BE,1962,2285,
ESTAT:APRO_MK_FARM(1.0),12/10/23 23:00:00,A,D0100AD,UWM,BE,1963,2229,
ESTAT:APRO_MK_FARM(1.0),12/10/23 23:00:00,A,D0100AD,UWM,BE,1964,2212,
ESTAT:APRO_MK_FARM(1.0),12/10/23 23:00:00,A,D0100AD,UWM,BE,1965,2432,
ESTAT:APRO_MK_FARM(1.0),12/10/23 23:00:00,A,D0100AD,UWM,BE,1966,2609,
ESTAT:APRO_MK_FARM(1.0),12/10/23 23:00:00,A,D0100AD,UWM,BE,1967,2753,
ESTAT:APRO_MK_FARM(1.0),12/10/23 23:00:00,A,D0100AD,UWM,BE,1968,2915,
ESTAT:APRO_MK_FARM(1.0),12/10/23 23:00:00,A,D0100AD,UWM,BE,1969,2799,
ESTAT:APRO_MK_FARM(1.0),12/10/23 23:00:00,A,D0100AD,UWM,BE,1970,2654,
ESTAT:APRO_MK_FARM(1.0),12/10/23 23:00:00,A,D0100AD,UWM,BE,1971,2611,
ESTAT:APRO_MK_FARM(1.0),12/10/23 23:00:00,A,D0100AD,UWM,BE,1972,2781,
ESTAT:APRO_MK_FARM(1.0),12/10/23 23:00:00,A,D0100AD,UWM,BE,1973,2715,
ESTAT:APRO_MK_FARM(1.0),12/10/23 23:00:00,A,D0100AD,UWM,BE,1974,2806,
ESTAT:APRO_MK_FARM(1.0),12/10/23 23:00:00,A,D0100AD,UWM,BE,1975,2771,
ESTAT:APRO_MK_FARM(1.0),12/10/23 23:00:00,A,D0100AD,UWM,BE,1976,2788,
ESTAT:APRO_MK_FARM(1.0),12/10/23 23:00:00,A,D0100AD,UWM,BE,1977,2826,
ESTAT:APRO_MK_FARM(1.0),12/10/23 23:00:00,A,D0100AD,UWM,BE,1978,2976,
